Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed
2020-08-05 11:22:06.689972,19.912,32.66,43,13.027216,77.5638124,930.07,19.8,0.334396958351,0.378000020981
2020-08-05 11:22:07.697105,19.86,34.88,43,13.0272167,77.5638099,930.09,21.1,0.423764139414,0.211000010371
2020-08-05 11:22:08.704058,19.839,35.18,43,13.0272185,77.5638106,930.05,20.9,0.1649813205,0.0830000042915
2020-08-05 11:22:09.707570,19.805,36.22,43,13.0272178,77.563811,930.08,21.0,0.217475816607,0.108000002801
2020-08-05 11:22:10.712014,19.886,33.34,43,13.0272197,77.5638114,930.04,22.4,0.25563916564,0.308000028133
2020-08-05 11:22:11.714032,20.033,28.05,43,13.0272202,77.5638128,930.06,21.2,0.164129540324,0.240000009537
2020-08-05 11:22:12.719437,19.919,32.34,43,13.0272195,77.563812,930.03,20.5,0.172247588634,0.185000002384
2020-08-05 11:22:13.721995,19.793,37.24,43,13.0272216,77.5638101,930.03,20.9,0.336153745651,0.20000000298
2020-08-05 11:22:14.724499,19.759,38.21,42,13.027223,77.5638075,929.97,21.9,0.248087286949,0.183000013232
2020-08-05 11:22:15.726861,19.912,32.31,42,13.0272195,77.5638077,930.04,21.1,0.35481145978,0.47000002861
2020-08-05 11:22:16.730696,19.399,51.62,42,13.0272155,77.5638105,930.01,22.1,0.477649092674,0.313000023365
2020-08-05 11:22:17.735983,19.732,38.65,42,13.0272186,77.5638081,929.98,21.0,0.42720580101,0.444000035524
2020-08-05 11:22:18.739522,19.769,37.19,42,13.0272209,77.5638094,930.01,21.1,0.455267190933,0.448000013828
2020-08-05 11:22:19.742510,19.558,45.28,42,13.0272254,77.5638094,929.95,20.9,0.00714731030166,0.0120000001043
2020-08-05 11:22:20.744568,19.715,38.72,42,13.0272221,77.5638089,929.95,20.4,0.609886229038,0.450000017881
2020-08-05 11:22:21.747199,19.802,35.56,42,13.0272185,77.5638082,929.99,21.3,0.208239525557,0.35300001502
2020-08-05 11:22:22.752445,19.756,37.16,42,13.027218,77.5638096,929.95,21.5,0.186837226152,0.236000016332
2020-08-05 11:22:23.755703,19.773,36.55,42,13.0272179,77.5638112,929.94,21.8,0.123228527606,0.157000005245
2020-08-05 11:22:24.758323,19.733,38.36,42,13.0272202,77.5638115,929.95,20.8,0.324234008789,0.27500000596
2020-08-05 11:22:25.760772,19.761,37.08,42,13.0272199,77.5638119,929.96,21.6,0.0656181424856,0.106000006199
2020-08-05 11:22:26.763254,19.904,31.58,42,13.0272205,77.5638111,930.0,21.3,0.197700604796,0.0720000043511
2020-08-05 11:22:27.767587,19.729,38.19,42,13.0272214,77.5638104,930.02,21.6,0.0393016636372,0.0760000050068
2020-08-05 11:22:28.769563,19.839,33.98,42,13.0272214,77.5638095,930.02,21.4,0.123360104859,0.208000004292
