Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed,,
38:00.9,22.87,28.01,91,13.0272707,77.5637955,934.57,14.5,2.249484539,1.749000072,,
38:01.9,22.728,33.34,91,13.0272656,77.563822,934.57,12,3.366438866,3.078000069,,
38:02.9,22.78,31.27,91,13.0272569,77.5638447,934.49,11.4,3.068384647,3.247000217,,
38:03.9,22.729,32.87,91,13.0272404,77.5638622,934.47,10.9,2.375318289,2.361000061,,
38:04.9,22.716,33.38,91,13.0272172,77.563864,934.52,12.1,2.679362059,2.426000118,,
38:06.0,22.757,31.65,91,13.02719,77.5638599,934.52,11.7,2.882792234,2.820000172,,
38:07.0,22.787,30.05,91,13.0271746,77.5638526,934.51,12.1,2.154256105,2.274000168,,
38:08.0,22.704,33.01,91,13.0271684,77.5638345,934.52,12.3,2.364302397,2.060000181,,
38:09.0,22.789,29.67,91,13.0271718,77.5638087,934.54,11.5,2.866065025,2.762000084,,
38:10.0,22.795,29.64,91,13.0271757,77.5637882,934.5,12.1,2.532679558,2.70600009,,
38:11.0,22.492,40.59,91,13.0271782,77.5637694,934.48,12.1,1.139341235,1.611000061,,
38:12.0,22.826,28.58,91,13.0271867,77.5637644,934.53,12.5,1.768298745,1.148000002,,
38:13.0,22.699,32.99,91,13.0272022,77.5637684,934.55,11.2,2.930931807,2.305999994,,
38:14.0,22.852,27.07,91,13.0272346,77.5637759,934.59,11.5,3.536767721,3.482000113,,
38:15.0,22.721,32.59,91,13.0272586,77.5637826,934.49,12.8,2.527926683,2.730000019,,
38:16.0,22.676,33.83,91,13.0272727,77.5637936,934.46,11.3,1.433117867,1.54400003,,
38:17.0,22.653,34.42,91,13.0272671,77.5638118,934.45,11.4,2.677579165,2.248000145,,
38:18.0,22.621,35.66,91,13.0272567,77.5638401,934.4,12.2,3.310444355,3.145000219,,
38:19.0,22.601,35.88,91,13.0272441,77.5638586,934.41,11.4,2.685918808,2.712000132,,
38:20.1,22.72,31.4,90,13.0272205,77.5638668,934.55,11.2,2.670498133,2.445000172,,
38:21.1,22.772,29.47,90,13.0271993,77.5638632,934.63,12.5,3.026629686,2.658000231,,
38:22.1,22.723,31.09,90,13.0271764,77.5638523,934.62,11.1,2.242990971,2.157999992,,
38:23.1,22.677,32.71,90,13.0271684,77.5638331,934.6,11.8,2.482254744,2.080000162,,
38:24.1,22.547,37.11,90,13.0271731,77.563804,934.53,11.3,3.260032177,3.127000093,,
38:25.1,22.779,28.2,90,13.0271768,77.5637839,934.54,12.9,2.358342648,2.873000145,,
38:26.1,22.313,45.48,90,13.0271806,77.5637674,934.55,12.8,0.566815853,1.149000049,,
38:27.1,22.567,36.21,90,13.0271846,77.563767,934.6,10.9,1.486294985,0.478000015,,
38:28.1,22.563,35.93,90,13.0271979,77.5637677,934.58,13.7,2.797339439,2.288000107,,
38:29.1,22.859,25.1,90,13.0272288,77.5637729,934.59,11.2,3.544720888,3.385000229,,
38:30.1,22.818,27.23,90,13.0272536,77.5637791,934.6,10.6,3.040807962,3.337000132,,
38:31.1,22.692,31.54,90,13.0272694,77.563795,934.59,11.9,2.261888504,1.90200007,,
38:32.1,22.595,35.05,90,13.027267,77.5638207,934.53,11.1,2.891808748,2.612000227,,
38:33.1,22.594,35.01,90,13.0272576,77.5638506,934.5,12.6,3.240624666,3.173000097,,
38:34.2,22.688,30.97,90,13.0272448,77.5638633,934.51,12.4,2.215430021,2.176000118,,
38:35.2,22.778,27.76,90,13.0272222,77.563864,934.64,12.7,2.736722708,2.391000032,,
